step,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
262,Espresso,AND,2,0,0,0,0,-1,-1,55207862,55085609,0
263,Espresso,AND,2,0,0,0,0,-1,-1,62687361,54335184,0
264,Espresso,AND,2,0,0,0,0,-1,-1,54564598,54924416,0
265,Espresso,AND,2,0,0,0,0,-1,-1,63862504,52872972,0
266,Espresso,AND,2,0,0,0,0,-1,-1,55790151,53131063,0
267,Espresso,AND,2,0,0,0,0,-1,-1,63520495,54354202,0
268,Espresso,AND,2,0,0,0,0,-1,-1,55673935,52798110,0
269,Espresso,AND,2,0,0,0,0,-1,-1,62425045,54118448,0
270,Espresso,AND,2,0,0,0,0,-1,-1,55688425,53769196,0
271,Espresso,AND,2,0,0,0,0,-1,-1,62388217,54569428,0
272,Espresso,AND,2,0,0,0,0,-1,-1,56398400,54017627,0
273,Espresso,AND,2,0,0,0,0,-1,-1,76133434,52349546,0
274,Espresso,AND,2,0,0,0,0,-1,-1,64348499,54982977,0
275,Espresso,AND,2,0,0,0,0,-1,-1,57025063,59992049,0
276,Espresso,AND,2,0,0,0,0,-1,-1,53173927,52912515,0
277,Espresso,AND,2,0,0,0,0,-1,-1,57391823,53038995,0
278,Espresso,AND,2,0,0,0,0,-1,-1,56830060,54720660,0
279,Espresso,AND,2,0,0,0,0,-1,-1,56097143,55150509,0
280,Espresso,AND,2,0,0,0,0,-1,-1,64487959,54777108,0
281,Espresso,AND,2,0,0,0,0,-1,-1,57553620,54807595,0
282,Espresso,AND,2,0,0,0,0,-1,-1,65711399,53376777,0
283,Espresso,AND,2,0,0,0,0,-1,-1,58300725,52965039,0
284,Espresso,AND,2,0,0,0,0,-1,-1,57758584,53852509,0
285,Espresso,AND,20,0,0,0,0,-1,-1,184690000,55372377,0
286,Espresso,AND,2,0,0,0,0,-1,-1,54785861,53005791,0
287,Espresso,AND,2,0,0,0,0,-1,-1,54972714,53128044,0
288,Espresso,AND,2,0,0,0,0,-1,-1,56231170,52934249,0
289,Espresso,AND,2,0,0,0,0,-1,-1,54985693,54551618,0
290,Espresso,AND,2,0,0,0,0,-1,-1,55346718,52746794,0
291,Espresso,AND,2,0,0,0,0,-1,-1,62270793,53888733,0
292,Espresso,AND,2,0,0,0,0,-1,-1,56495297,53593211,0
293,Espresso,AND,2,0,0,0,0,-1,-1,55747891,54266058,0
294,Espresso,AND,2,0,0,0,0,-1,-1,55971872,53365306,0
295,Espresso,AND,2,0,0,0,0,-1,-1,56242942,53858244,0
296,Espresso,AND,2,0,0,0,0,-1,-1,56635965,54045096,0
297,Espresso,AND,2,0,0,0,0,-1,-1,56328973,52566281,0
298,Espresso,AND,2,0,0,0,0,-1,-1,56453641,52847615,0
299,Espresso,AND,2,0,0,0,0,-1,-1,58218619,54986900,0
300,Espresso,AND,2,0,0,0,0,-1,-1,57563582,55140850,0
301,Espresso,AND,2,0,0,0,0,-1,-1,58150700,52720834,0
302,Espresso,AND,2,0,0,0,0,-1,-1,58687107,52652312,0
303,Espresso,AND,2,0,0,0,0,-1,-1,59800066,53351420,0
304,Espresso,AND,2,0,0,0,0,-1,-1,58087611,53537065,0
305,Espresso,AND,2,0,0,0,0,-1,-1,71143076,53201698,0
306,Espresso,AND,2,0,0,0,0,-1,-1,104622721,52358602,0
307,Espresso,AND,2,0,0,0,0,-1,-1,58269029,53916202,0
308,Espresso,AND,2,0,0,0,0,-1,-1,58964516,53780666,0
309,Espresso,AND,2,0,0,0,0,-1,-1,57647499,53751989,0
310,Espresso,AND,2,0,0,0,0,-1,-1,59150462,52866633,0
311,Espresso,AND,2,0,0,0,0,-1,-1,57930040,55239860,0
312,Espresso,AND,2,0,0,0,0,-1,-1,57092075,53884507,0
313,Espresso,AND,2,0,0,0,0,-1,-1,59280564,53032958,0
314,Espresso,AND,2,0,0,0,0,-1,-1,59139897,53416321,0
315,Espresso,AND,2,0,0,0,0,-1,-1,57736245,54802464,0
316,Espresso,AND,2,0,0,0,0,-1,-1,58789135,53515934,0
317,Espresso,AND,2,0,0,0,0,-1,-1,59242227,53151288,0
318,Espresso,AND,2,0,0,0,0,-1,-1,58940367,53520462,0
319,Espresso,AND,2,0,0,0,0,-1,-1,60090154,54174896,0
320,Espresso,AND,2,0,0,0,0,-1,-1,59671775,53277767,0
321,Espresso,AND,2,0,0,0,0,-1,-1,58669296,52678272,0
322,Espresso,AND,20,0,0,0,0,-1,-1,169366960,52298833,0
323,Espresso,AND,2,0,0,0,0,-1,-1,60249234,55230502,0
324,Espresso,AND,2,0,0,0,0,-1,-1,60935061,52350451,0
325,Espresso,AND,2,0,0,0,0,-1,-1,62398481,52425313,0
326,Espresso,AND,2,0,0,0,0,-1,-1,65481683,52139149,0
327,Espresso,AND,2,0,0,0,0,-1,-1,63427221,53543404,0
328,Espresso,AND,2,0,0,0,0,-1,-1,61827058,53809947,0
329,Espresso,AND,2,0,0,0,0,-1,-1,61407775,54759902,0
330,Espresso,AND,2,0,0,0,0,-1,-1,62212233,52803243,0
331,Espresso,AND,2,0,0,0,0,-1,-1,62221289,54172481,0
332,Espresso,AND,2,0,0,0,0,-1,-1,61737105,54265454,0
333,Espresso,AND,2,0,0,0,0,-1,-1,63596564,53365609,0
334,Espresso,AND,2,0,0,0,0,-1,-1,63508723,53104197,0
335,Espresso,AND,2,0,0,0,0,-1,-1,64491279,53797268,0
336,Espresso,AND,2,0,0,0,0,-1,-1,86204404,52361016,0
337,Espresso,AND,2,0,0,0,0,-1,-1,62743809,53382211,0
338,Espresso,AND,2,0,0,0,0,-1,-1,62484510,54554939,0
339,Espresso,AND,2,0,0,0,0,-1,-1,63359906,54294433,0
340,Espresso,AND,2,0,0,0,0,-1,-1,63830205,53171813,0
341,Espresso,AND,2,0,0,0,0,-1,-1,63139246,54151351,0
342,Espresso,AND,2,0,0,0,0,-1,-1,62944244,53203207,0
343,Espresso,AND,2,0,0,0,0,-1,-1,63595659,54498189,0
344,Espresso,AND,2,0,0,0,0,-1,-1,65018025,53770705,0
345,Espresso,AND,2,0,0,0,0,-1,-1,65173785,54470116,0
346,Espresso,AND,2,0,0,0,0,-1,-1,65400482,54146823,0
347,Espresso,AND,2,0,0,0,0,-1,-1,65650725,52769132,0
348,Espresso,AND,2,0,0,0,0,-1,-1,64234396,54047813,0
349,Espresso,AND,2,0,0,0,0,-1,-1,63317947,54167048,0
350,Espresso,AND,2,0,0,0,0,-1,-1,65579788,53352628,0
351,Espresso,AND,2,0,0,0,0,-1,-1,64716166,54666023,0
352,Espresso,AND,2,0,0,0,0,-1,-1,64250394,53436847,0
353,Espresso,AND,2,0,0,0,0,-1,-1,110815690,52177485,0
354,Espresso,AND,2,0,0,0,0,-1,-1,66096875,54709491,0
355,Espresso,AND,2,0,0,0,0,-1,-1,70774806,51434003,0
356,Espresso,AND,2,0,0,0,0,-1,-1,65480778,52730192,0
357,Espresso,AND,2,0,0,0,0,-1,-1,69916617,52796299,0
358,Espresso,AND,2,0,0,0,0,-1,-1,66124344,53620680,0
359,Espresso,AND,2,0,0,0,0,-1,-1,66095668,52222462,0
360,Espresso,AND,2,0,0,0,0,-1,-1,70062114,52779093,0
361,Espresso,AND,2,0,0,0,0,-1,-1,67858834,53949709,0
362,Espresso,AND,2,0,0,0,0,-1,-1,67011814,68690460,0
363,Espresso,AND,2,0,0,0,0,-1,-1,68729400,54171274,0
364,Espresso,AND,2,0,0,0,0,-1,-1,66847602,54878834,0
365,Espresso,AND,2,0,0,0,0,-1,-1,85446432,54215044,0
366,Espresso,AND,2,0,0,0,0,-1,-1,66491708,53867904,0
367,Espresso,AND,2,0,0,0,0,-1,-1,67013927,52930326,0
368,Espresso,AND,2,0,0,0,0,-1,-1,67722393,54304696,0
369,Espresso,AND,2,0,0,0,0,-1,-1,67113842,63534382,0
370,Espresso,AND,2,0,0,0,0,-1,-1,67985615,52745587,0
371,Espresso,AND,2,0,0,0,0,-1,-1,67786388,52796601,0
372,Espresso,AND,2,0,0,0,0,-1,-1,67726015,52179297,0
373,Espresso,AND,2,0,0,0,0,-1,-1,68554321,52294909,0
374,Espresso,AND,2,0,0,0,0,-1,-1,67879361,52148809,0
375,Espresso,AND,2,0,0,0,0,-1,-1,68832033,52596166,0
376,Espresso,AND,2,0,0,0,0,-1,-1,67785180,52648086,0
377,Espresso,AND,2,0,0,0,0,-1,-1,68917761,54114524,0
