idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
21,JBool,AND,1,4,5,5,60,5.0,0.0,0,1
21,QM,AND,1,4,6,6,78,4.0,0.0,0,17
22,Naïve,AND,4,5,10,11,110,9.0,5.0,0,0
22,OnlySelec,AND,4,5,10,11,114,9.0,1.0,0,0
22,ATGT,AND,4,5,10,11,114,9.0,1.0,0,0
22,Espresso,AND,4,4,9,13,109,11.0,1.0,0,69
22,JBool,AND,4,4,9,11,107,11.0,1.0,0,0
22,QM,AND,4,4,10,12,118,12.0,1.0,0,12721
23,Naïve,AND,3,5,9,8,92,6.0,4.0,0,0
23,OnlySelec,AND,3,5,9,8,94,6.0,1.0,0,0
23,ATGT,AND,3,5,9,8,94,6.0,1.0,0,0
23,Espresso,AND,3,4,8,10,89,8.0,1.0,0,78
23,JBool,AND,3,4,8,10,89,10.0,1.0,0,0
23,QM,AND,3,4,10,13,109,13.0,1.0,0,335
24,Naïve,AND,4,5,10,8,107,6.0,5.0,0,0
24,OnlySelec,AND,4,5,10,8,111,6.0,1.0,0,0
24,ATGT,AND,4,5,9,7,100,5.0,1.0,0,0
24,Espresso,AND,4,4,9,10,106,8.0,1.0,0,47
24,JBool,AND,4,4,9,10,106,10.0,1.0,0,0
24,QM,AND,4,4,6,8,70,8.0,1.0,0,31
25,Naïve,OR,3,5,12,11,139,12.0,2.0,0,0
25,OnlySelec,OR,3,5,12,11,139,12.0,2.0,0,23
25,ATGT,OR,3,5,9,7,103,7.0,2.0,0,24
25,Espresso,OR,3,4,11,14,132,14.0,2.0,0,131
25,JBool,OR,3,5,7,9,76,15.0,-1.0,0,16
25,QM,OR,3,4,4,5,42,9.0,-2.0,0,69
26,Naïve,AND,3,5,9,9,103,7.0,4.0,0,0
26,OnlySelec,AND,3,5,9,9,105,7.0,1.0,0,0
26,ATGT,AND,3,5,9,9,105,7.0,1.0,0,0
26,Espresso,AND,3,4,8,11,100,9.0,1.0,0,47
26,JBool,AND,3,4,8,10,99,10.0,1.0,0,0
26,QM,AND,3,4,7,9,88,7.0,1.0,0,16
27,Naïve,OR,2,5,10,9,119,10.0,1.0,0,0
27,OnlySelec,OR,2,5,10,9,119,10.0,1.0,0,31
27,ATGT,OR,2,5,8,6,92,5.0,1.0,0,23
27,Espresso,OR,2,4,9,12,112,12.0,1.0,0,131
27,JBool,OR,2,5,5,7,52,10.0,-1.0,0,16
